id_cp_interaction,partner_a,protein_name_a,receptor_symbol_a,partner_b,protein_name_b,TF_symbol_a,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class,Condition
,ACVL1_ACVR2A,,ACVL1_ACVR2A,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVL1_ACVR2A,,ACVL1_ACVR2A,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVL1_ACVR2A,,ACVL1_ACVR2A,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVL1_BMPR2,,ACVL1_BMPR2,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVL1_BMPR2,,ACVL1_BMPR2,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVL1_BMPR2,,ACVL1_BMPR2,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2A_receptor,,ACVR_1A2A_receptor,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2A_receptor,,ACVR_1A2A_receptor,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2A_receptor,,ACVR_1A2A_receptor,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2B_receptor,,ACVR_1A2B_receptor,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2B_receptor,,ACVR_1A2B_receptor,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1A2B_receptor,,ACVR_1A2B_receptor,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1B2B_receptor,,ACVR_1B2B_receptor,,,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR_1B2B_receptor,,ACVR_1B2B_receptor,,,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR1_BMPR2,,ACVR1_BMPR2,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR1_BMPR2,,ACVR1_BMPR2,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,ACVR1_BMPR2,,ACVR1_BMPR2,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR1,,,STAT1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR2,,,STAT3,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR3,,,STAT5A,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR3,,,STAT5B,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR4,,,STAT6,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P30556,AGTR1_HUMAN,AGTR5,,,STAT2,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P10275,ANDR_HUMAN,AR,,,AR,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,BMPR1A_BMPR2,,BMPR1A_BMPR2,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1A_BMPR2,,BMPR1A_BMPR2,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1A_BMPR2,,BMPR1A_BMPR2,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2,,BMPR1B_BMPR2,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2,,BMPR1B_BMPR2,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2,,BMPR1B_BMPR2,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2_ACVR1B,,BMPR1B_BMPR2_ACVR1B,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2_ACVR1B,,BMPR1B_BMPR2_ACVR1B,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMPR1B_BMPR2_ACVR1B,,BMPR1B_BMPR2_ACVR1B,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_ACR2A,,BMR1A_ACR2A,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_ACR2A,,BMR1A_ACR2A,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_ACR2A,,BMR1A_ACR2A,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_AVR2B,,BMR1A_AVR2B,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_AVR2B,,BMR1A_AVR2B,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1A_AVR2B,,BMR1A_AVR2B,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2A,,BMR1B_AVR2A,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2A,,BMR1B_AVR2A,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2A,,BMR1B_AVR2A,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2B,,BMR1B_AVR2B,,,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2B,,BMR1B_AVR2B,,,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,BMR1B_AVR2B,,BMR1B_AVR2B,,,SMAD8,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT3,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT4,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT5A,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT5B,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P61073,CXCR4_HUMAN,CXCR4,,,STAT6,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P00533,EGFR_HUMAN,EGFR,,,STAT1,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P00533,EGFR_HUMAN,EGFR,,,STAT3,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P00533,EGFR_HUMAN,EGFR,,,STAT5A,1,Uniprot;PBMID: 8524316,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P00533,EGFR_HUMAN,EGFR,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P19235,EPOR_HUMAN,EPOR,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P19235,EPOR_HUMAN,EPOR,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P19235,EPOR_HUMAN,EPOR,,,STAT5A,1,Uniprot;PMID: 8665851,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P19235,EPOR_HUMAN,EPOR,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,Q15303,ERBB4_HUMAN,ERBB4,,,STAT5A,1,PMID: 15863494,RuxTes ,,,
,P03372,ESR1_HUMAN,ESR1,,,ESR1,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,Q92731,ESR2_HUMAN,ESR2,,,ESR2,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,FGFR2,FGFR2_HUMAN,FGFR2,,,ESR1,-1,PMID: 29180470; PMID: 27236187 ,RuxTes ,,,
,P23945,FSHR_HUMAN,FSHR,,,FOXO1,-1,PMID:11875118,LGarciaAlonso,,IIA_developmental,
,P23945,FSHR_HUMAN,FSHR,,,FOXO3,-1,PMID:11875118,LGarciaAlonso,,IIA_developmental,
,FZD7_LRP5,,FZD7_LRP5,,,TBXT,1,PMID:27641648;https://doi.org/10.1016/C2015-0-05642-8,LGarciaAlonso,,IIA_developmental,
,FZD7_LRP6,,FZD7_LRP6,,,TBXT,1,PMID:27641648;https://doi.org/10.1016/C2015-0-05642-8,LGarciaAlonso,,IIA_developmental,
,P41235,HNF4A_HUMAN,HNF4A,,,HNF4A,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,Q14541,HNF4G_HUMAN,HNF4G,,,HNF4G,1,selfAssos,LGarciaAlonso,,IIB1_steroid_receptor,
,IL1_receptor,,IL1_receptor,,,NFKB1,1,,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL10_receptor,,IL10_receptor,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL10_receptor,,IL10_receptor,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL10_receptor,,IL10_receptor,,,STAT5A,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL10_receptor,,IL10_receptor,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT4,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT5A,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL12_receptor,,IL12_receptor,,,STAT6,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT4,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT5A,1,Uniprot;PMID: 9597132,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL2_receptor_I,,IL2_receptor_I,,,STAT6,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL3_receptor,,IL3_receptor,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL3_receptor,,IL3_receptor,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL3_receptor,,IL3_receptor,,,STAT5A,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL3_receptor,,IL3_receptor,,,STAT5B,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL3_receptor,,IL3_receptor,,,STAT6,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL4_receptor,,IL4_receptor,,,STAT5A,1,,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL4_receptor,,IL4_receptor,,,STAT6,1,PMID: 8602263; PMID: 25145352,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL5_receptor,,IL5_receptor,,,SOX4,1,PMID:11498591,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL6_receptor,,IL6_receptor,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL6_receptor,,IL6_receptor,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,IL7_receptor,,IL7_receptor,,,STAT5A,1,PMID: 9597132,RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P06213,INSR_HUMAN,INSR,,,FOXO1,-1,Uniprot,LGarciaAlonso,,IIA_developmental,
,P10721,KIT_HUMAN,KIT,,,STAT1,1,Uniprot;PMID:10358045;PMID: 9355737,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
,P10721,KIT_HUMAN,KIT,,,STAT3,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P10721,KIT_HUMAN,KIT,,,STAT5A,1,Uniprot;PMID:10358045,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,P10721,KIT_HUMAN,KIT,,,STAT5B,1,Uniprot;PMID:10358045,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,LHCGR,,,FOXO1,-1,PMID:11875118,LGarciaAlonso,,IIA_developmental,
,,,LHCGR,,,FOXO3,-1,PMID:11875118,LGarciaAlonso,,IIA_developmental,
,,,MERTK,,,STAT1,1,Uniprot,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,NOTCH1,,,EOMES,1,PMID:19265115,LGarciaAlonso,,IIB3b_RL_signal_dependent_cytoplasmic,
,,,NOTCH1,,,HES1,1,Uniprot;NetPath;PMID 10520600,LGarciaAlonso;RuxTes ,,IIB3b_RL_signal_dependent_cytoplasmic,
